Percentage of Weights pruned,Test Accuracy
0,92.73202212661339
tensor(20.0008),93.2698217578365
tensor(36.0017),93.58481868469575
tensor(48.8024),93.74231714812538
tensor(59.0430),93.65780577750459
tensor(67.2353),93.64628149969268
tensor(73.7890),93.97280270436386
tensor(79.0321),93.85371850030731
tensor(83.2263),93.80377996312231
tensor(86.5821),93.48878303626306
tensor(89.2662),93.52335586969882
tensor(91.4139),93.26213890596189
tensor(93.1322),93.02012907191148
tensor(94.5065),92.45928088506453
tensor(95.6058),92.54763368162261
tensor(96.4857),92.07513829133373
tensor(97.1895),91.39904732636754
tensor(97.7523),90.52704363859864
tensor(98.2028),90.169791026429
tensor(98.5631),88.98279041180085
