Percentage of Weights pruned,Test Accuracy
0,93.30055316533496
tensor(20.0008),93.79993853718499
tensor(36.0017),93.96127842655193
tensor(48.8024),93.83451137062076
tensor(59.0430),94.02274124154886
tensor(67.2353),94.12645974185617
tensor(73.7890),93.96127842655193
tensor(79.0321),93.77688998156115
tensor(83.2263),93.94591272280269
tensor(86.5821),93.78841425937307
tensor(89.2662),93.65012292562999
tensor(91.4139),93.68853718500306
tensor(93.1322),93.29671173939765
tensor(94.5065),93.05854333128455
tensor(95.6058),92.32867240319605
tensor(96.4857),92.1558082360172
tensor(97.1895),91.42593730792869
tensor(97.7523),90.94191763982789
tensor(98.2028),90.13137676705593
tensor(98.5631),89.2478488014751
