Percentage of Weights pruned,Test Accuracy
0,94.84864781807006
tensor(20.0007),94.96773202212661
tensor(36.0009),95.07145052243392
tensor(48.8013),95.02535341118622
tensor(59.0416),94.97541487400122
tensor(67.2337),95.07913337430853
tensor(73.7874),95.04071911493546
tensor(79.0303),95.07145052243392
tensor(83.2246),95.10986478180699
tensor(86.5803),92.90104486785495
tensor(89.2647),94.64121081745543
tensor(91.4123),94.57590657652119
tensor(93.1303),94.56438229870928
tensor(94.5046),94.46450522433926
tensor(95.6043),94.45298094652735
tensor(96.4841),94.16103257529194
tensor(97.1879),94.02658266748615
tensor(97.7508),93.79225568531038
tensor(98.2013),93.46957590657652
tensor(98.5614),92.93945912722802
tensor(98.8498),92.24800245851259
tensor(99.0803),91.11094038106945
tensor(99.2648),90.13521819299322
tensor(99.4124),87.75353411186232
