Percentage of Weights pruned,Test Accuracy
0,94.37999385371849
tensor(20.0007),94.63736939151812
tensor(36.0010),94.90626920712968
tensor(48.8015),94.90242778119237
tensor(59.0418),95.33266748617086
tensor(67.2340),95.23279041180085
tensor(73.7878),95.08297480024585
tensor(79.0306),95.22510755992624
tensor(83.2252),95.15212046711738
tensor(86.5805),93.84219422249538
tensor(89.2650),94.47987092808849
tensor(91.4126),94.48371235402581
tensor(93.1306),94.56054087277197
tensor(94.5048),94.39535955746773
tensor(95.6045),94.10341118623232
tensor(96.4841),93.95743700061462
tensor(97.1879),92.62830362630608
tensor(97.7506),93.09695759065765
tensor(98.2010),92.73202212661339
tensor(98.5614),85.53318992009832
