Percentage of Weights pruned,Test Accuracy
0,94.77950215119851
tensor(20.0007),91.44514443761523
tensor(36.0010),94.97157344806392
tensor(48.8015),94.95620774431468
tensor(59.0418),94.97157344806392
tensor(67.2340),95.24431468961278
tensor(73.7878),95.0637676705593
tensor(79.0306),95.07529194837123
tensor(83.2252),94.94468346650275
tensor(86.5805),95.08297480024585
tensor(89.2650),94.75261216963736
tensor(91.4126),94.92163491087892
tensor(93.1306),94.74108789182544
tensor(94.5048),94.53749231714812
tensor(95.6045),91.86385986478179
tensor(96.4841),93.39658881376766
tensor(97.1879),88.62553779963122
