Percentage of Weights pruned,Test Accuracy
0,92.16349108789181
tensor(20.0007),92.63214505224339
tensor(36.0010),92.89336201598033
tensor(48.8015),92.80885064535956
tensor(59.0418),92.91641057160417
tensor(67.2340),93.12000614628148
tensor(73.7878),92.95866625691455
tensor(79.0306),92.9740319606638
tensor(83.2252),93.36969883220651
tensor(86.5805),93.14305470190534
tensor(89.2650),93.08927473878302
tensor(91.4126),92.72049784880146
tensor(93.1306),91.9637369391518
tensor(94.5048),91.70251997541486
tensor(95.6045),91.39904732636754
tensor(96.4841),90.9880147510756
tensor(97.1879),90.25430239704978
tensor(97.7506),89.37461585740625
