,Layer 0,Layer 1,,,,,,Layer 2,,,,,,Layer 3,,,,,
,,BasicBlock 0,,BasicBlock 1,,BasicBlock 2,,BasicBlock 0,,BasicBlock 1,,BasicBlock 2,,BasicBlock 0,,BasicBlock 1,,BasicBlock 2,
,conv. 0,conv. 0,conv. 1,conv. 0,conv. 1,conv. 0,conv. 1,conv. 0,conv. 1,conv. 0,conv. 1,conv. 0,conv. 1,conv. 0,conv. 1,conv. 0,conv. 1,conv. 0,conv. 1
Original Model,"[16, 3]","[16, 16]","[16, 16]","[16, 16]","[16, 16]","[16, 16]","[16, 16]","[32, 16]","[32, 32]","[32, 32]","[32, 32]","[32, 32]","[32, 32]","[64, 32]","[64, 64]","[64, 64]","[64, 64]","[64, 64]","[64, 64]"
ReLU ResNet20,"[16, 3]","[16, 16]","[16, 16]","[16, 16]","[16, 16]","[16, 16]","[16, 16]","[31, 16]","[31, 32]","[31, 31]","[32, 32]","[30, 31]","[29, 31]","[28, 27]","[39, 36]","[31, 53]","[20, 33]","[25, 32]","[9, 9]"
univ. rational ResNet20,"[16, 3]","[16, 16]","[16, 16]","[16, 16]","[16, 16]","[16, 16]","[16, 16]","[28, 15]","[29, 29]","[32, 31]","[31, 31]","[29, 31]","[29, 31]","[13, 16]","[12, 14]","[29, 44]","[27, 35]","[12, 15]","[8, 6]"
mix. exp. ResNet20,"[16, 3]","[16, 16]","[16, 16]","[16, 16]","[16, 16]","[16, 16]","[16, 16]","[32, 16]","[32, 32]","[32, 32]","[32, 32]","[32, 32]","[32, 32]","[64, 32]","[64, 64]","[64, 64]","[64, 64]","[64, 64]","[64, 64]"
