,Layer 0,Layer 1,,,,,,Layer 2,,,,,,,Layer 3,,,,,,,,
,,BasicBlock 0,,BasicBlock 1,,BasicBlock 2,,BasicBlock 0,,,BasicBlock 1,,BasicBlock 2,,BasicBlock 0,,,BasicBlock 1,,BasicBlock 2,,Total weights,Remained in %
,conv 0,conv. 0,conv. 1,conv. 0,conv. 1,conv. 0,conv. 1,conv. 0,conv. 1,conv. 2,conv. 0,conv. 1,conv. 0,conv. 1,conv. 0,conv. 1,conv. 2,conv. 0,conv. 1,conv. 0,conv. 1,,
Original Model,430,2302,2302,2302,2302,2302,2302,4606,9214,510,9214,9214,9214,9214,18430,36862,2046,36862,36862,36862,36862,270214,100.0
ReLU ResNet20,123,258,222,204,174,227,199,150,233,167,282,230,210,173,121,187,289,203,104,67,23,3846,1.4233163344608348
univ. rational ResNet20,56,173,109,101,82,100,76,63,60,108,110,109,114,107,56,55,163,121,130,36,16,1945,0.7197998623313374
mix. exp. ResNet20,41,162,104,104,93,111,96,73,118,127,110,116,115,94,35,43,160,120,99,15,9,1945,0.7197998623313374
