Epoch,Train Accuracy,Validation Accuracy,Test Accuracy
0,18.515552481662816,18.73430162717047,19.54517516902274
1,20.617731103143257,24.052637326635363,26.133220651505834
2,28.334819722257613,32.39598121655564,31.161647203441916
3,39.32621080028393,49.148192639510754,45.32882606023356
4,56.709680942067244,64.27869389538058,61.95451751690227
5,69.5411608394154,75.60336354701322,71.60417947141978
6,77.02710081357044,80.2227803865895,77.90027658266749
7,81.07311213439384,82.9201703614721,79.85940381069452
8,83.17347068780373,84.9950857267664,83.70082974800245
9,84.82245235971826,84.31254777765645,83.17455439459125
