Percentage of Weights pruned,Test Accuracy
0,93.23909035033805
tensor(20.0008),93.45036877688997
tensor(36.0017),93.37738168408112
tensor(48.8024),93.78841425937307
tensor(59.0430),93.86140135218191
tensor(67.2353),93.98048555623846
tensor(73.7890),93.84603564843269
tensor(79.0321),93.66933005531652
tensor(83.2263),93.93438844499077
tensor(86.5821),94.11493546404425
tensor(89.2662),93.93054701905346
tensor(91.4139),93.86140135218191
tensor(93.1322),93.83066994468345
tensor(94.5065),93.13153042409341
tensor(95.6058),92.95866625691455
tensor(96.4857),92.65135218192992
tensor(97.1895),92.5437922556853
tensor(97.7523),92.47464658881375
tensor(98.2028),90.64996926859249
tensor(98.5631),90.80746773202212
tensor(98.8516),90.57698217578364
tensor(99.0821),90.05838967424708
tensor(99.2664),88.89827904118009
