Percentage of Weights pruned,Test Accuracy
0,94.47987092808849
tensor(20.0007),94.93700061462815
tensor(36.0009),94.87553779963122
tensor(48.8013),94.73724646588812
tensor(59.0416),94.70267363245236
tensor(67.2337),94.66041794714198
tensor(73.7874),94.92931776275353
tensor(79.0303),94.75261216963736
tensor(83.2246),94.5298094652735
tensor(86.5803),94.69499078057775
tensor(89.2647),94.64121081745543
tensor(91.4123),94.49907805777504
tensor(93.1303),94.25322679778732
tensor(94.5046),93.79993853718499
tensor(95.6043),93.97664413030115
tensor(96.4841),93.97280270436386
tensor(97.1879),93.78457283343576
tensor(97.7508),93.45421020282728
tensor(98.2013),93.11232329440688
tensor(98.5614),92.74738783036263
tensor(98.8498),92.32483097725876
tensor(99.0803),91.34142593730792
tensor(99.2648),90.37338660110632
tensor(99.4124),89.88552550706822
