Percentage of Weights pruned,Test Accuracy
0,94.22633681622618
tensor(20.0007),94.66810079901659
tensor(36.0010),94.69114935464043
tensor(48.8015),94.79870928088505
tensor(59.0418),94.65273509526736
tensor(67.2340),94.8179164105716
tensor(73.7878),94.7257221880762
tensor(79.0306),94.8678549477566
tensor(83.2252),94.60663798401966
tensor(86.5805),94.51444376152426
tensor(89.2650),94.7218807621389
tensor(91.4126),94.36846957590657
tensor(93.1306),94.41456668715426
tensor(94.5048),94.2417025199754
tensor(95.6045),94.09956976029501
tensor(96.4841),93.67701290719114
tensor(97.1879),93.31591886908419
tensor(97.7506),93.28902888752305
tensor(98.2010),92.6859250153657
tensor(98.5614),92.09818684695759
tensor(98.8496),91.48740012292562
tensor(99.0801),90.70374923171481
tensor(99.2648),88.73693915181315
