Percentage of Weights pruned,Test Accuracy
0,94.41456668715426
tensor(20.0007),94.68346650276582
tensor(36.0010),94.77566072526122
tensor(48.8015),94.89474492931775
tensor(59.0418),94.89858635525506
tensor(67.2340),94.96773202212661
tensor(73.7878),94.63736939151812
tensor(79.0306),94.70267363245236
tensor(83.2252),94.88322065150582
tensor(86.5805),94.88706207744315
tensor(89.2650),94.68730792870312
tensor(91.4126),94.79102642901044
tensor(93.1306),94.56054087277197
tensor(94.5048),94.41456668715426
tensor(95.6045),94.0457897971727
tensor(96.4841),93.76920712968652
tensor(97.1879),93.29287031346036
tensor(97.7506),93.14689612784265
tensor(98.2010),92.70129071911492
tensor(98.5614),92.01751690227412
tensor(98.8496),91.25691456668714
tensor(99.0801),89.70497848801475
