Percentage of Weights pruned,Test Accuracy
0,94.63352796558081
tensor(20.0007),94.47218807621388
tensor(36.0009),94.87553779963122
tensor(48.8013),94.66425937307929
tensor(59.0416),94.91011063306699
tensor(67.2337),94.88322065150582
tensor(73.7874),94.78334357713582
tensor(79.0303),94.80639213275967
tensor(83.2246),94.67962507682851
tensor(86.5803),94.70267363245236
tensor(89.2647),94.70267363245236
tensor(91.4123),94.59127228027043
tensor(93.1303),94.57206515058388
tensor(94.5046),94.46066379840195
tensor(95.6043),94.14566687154272
tensor(96.4841),94.08036263060848
tensor(97.1879),93.58866011063306
tensor(97.7508),93.54640442532268
tensor(98.2013),93.19299323909034
tensor(98.5614),92.65903503380454
tensor(98.8498),92.19038106945298
tensor(99.0803),91.34526736324523
tensor(99.2648),90.52320221266133
tensor(99.4124),89.19022741241548
