Percentage of Weights pruned,Test Accuracy
0,94.44529809465273
tensor(20.0007),94.75261216963736
tensor(36.0009),94.75645359557467
tensor(48.8013),94.92931776275353
tensor(59.0416),95.18285187461585
tensor(67.2337),94.90626920712968
tensor(73.7874),94.97541487400122
tensor(79.0303),94.92163491087892
tensor(83.2246),95.07913337430853
tensor(86.5803),95.22510755992624
tensor(89.2647),94.75261216963736
tensor(91.4123),94.55669944683466
tensor(93.1303),94.39920098340502
tensor(94.5046),94.12261831591886
tensor(95.6043),94.05347264904732
tensor(96.4841),93.71158574062692
tensor(97.1879),93.72311001843883
tensor(97.7508),93.30823601720958
tensor(98.2013),92.80885064535956
tensor(98.5614),92.72433927473878
tensor(98.8498),92.37476951444376
tensor(99.0803),91.91763982790411
tensor(99.2648),90.75752919483712
tensor(99.4124),89.47449293177627
