,Layer 0,Layer 1,,,,,,Layer 2,,,,,,Layer 3,,,,,
,,BasicBlock 0,,BasicBlock 1,,BasicBlock 2,,BasicBlock 0,,BasicBlock 1,,BasicBlock 2,,BasicBlock 0,,BasicBlock 1,,BasicBlock 2,
,conv. 0,conv. 0,conv. 1,conv. 0,conv. 1,conv. 0,conv. 1,conv. 0,conv. 1,conv. 0,conv. 1,conv. 0,conv. 1,conv. 0,conv. 1,conv. 0,conv. 1,conv. 0,conv. 1
Original Model,"[16, 3]","[16, 16]","[16, 16]","[16, 16]","[16, 16]","[16, 16]","[16, 16]","[32, 16]","[32, 32]","[32, 32]","[32, 32]","[32, 32]","[32, 32]","[64, 32]","[64, 64]","[64, 64]","[64, 64]","[64, 64]","[64, 64]"
ReLU ResNet20,"[16, 3]","[16, 16]","[16, 16]","[16, 16]","[16, 16]","[16, 16]","[16, 16]","[30, 16]","[32, 31]","[32, 32]","[30, 31]","[31, 31]","[30, 32]","[38, 28]","[30, 33]","[38, 50]","[26, 33]","[27, 31]","[8, 11]"
univ. rational ResNet20,"[14, 3]","[16, 16]","[16, 16]","[16, 15]","[16, 16]","[16, 16]","[16, 16]","[17, 12]","[31, 25]","[31, 29]","[32, 31]","[31, 31]","[31, 30]","[15, 16]","[17, 20]","[37, 54]","[37, 39]","[15, 21]","[9, 10]"
mix. exp. ResNet20,"[16, 3]","[16, 16]","[16, 16]","[16, 16]","[16, 16]","[16, 16]","[16, 16]","[21, 16]","[25, 27]","[28, 30]","[26, 29]","[29, 30]","[32, 30]","[21, 19]","[16, 19]","[38, 47]","[39, 42]","[7, 8]","[8, 9]"
