Percentage of Weights pruned,Test Accuracy
0,93.84987707437
tensor(20.0007),94.1917639827904
tensor(36.0010),94.41456668715426
tensor(48.8015),94.36462814996926
tensor(59.0418),94.63352796558081
tensor(67.2340),94.61816226183159
tensor(73.7878),94.67962507682851
tensor(79.0306),94.69114935464043
tensor(83.2252),94.66041794714198
tensor(86.5805),94.54517516902273
tensor(89.2650),94.34542102028271
tensor(91.4126),93.88829133374308
tensor(93.1306),94.02274124154886
tensor(94.5048),93.7077443146896
tensor(95.6045),93.57329440688382
tensor(96.4841),92.75507068223725
tensor(97.1879),92.40165949600491
tensor(97.7506),91.7678242163491
tensor(98.2010),90.68838352796558
tensor(98.5614),89.6857713583282
