Percentage of Weights pruned,Test Accuracy
0,93.85371850030731
tensor(20.0007),94.16487400122925
tensor(36.0009),94.31084818684695
tensor(48.8013),94.38767670559311
tensor(59.0416),94.59127228027043
tensor(67.2337),94.56054087277197
tensor(73.7874),94.56822372464659
tensor(79.0303),94.49907805777504
tensor(83.2246),94.57206515058388
tensor(86.5803),94.40688383527964
tensor(89.2647),94.19560540872772
tensor(91.4123),94.19560540872772
tensor(93.1303),93.86908420405653
tensor(94.5046),93.97280270436386
tensor(95.6043),93.84603564843269
tensor(96.4841),93.23909035033805
tensor(97.1879),92.81269207129685
tensor(97.7508),92.38629379225569
tensor(98.2013),91.9637369391518
tensor(98.5614),91.24154886293792
tensor(98.8498),90.22741241548862
tensor(99.0803),88.8560233558697
