Percentage of Weights pruned,Test Accuracy
0,93.69237861094038
tensor(20.0007),94.20328826060232
tensor(36.0010),94.47987092808849
tensor(48.8015),94.42993239090349
tensor(59.0418),94.59895513214505
tensor(67.2340),94.54901659496005
tensor(73.7878),94.38767670559311
tensor(79.0306),94.54517516902273
tensor(83.2252),94.54133374308542
tensor(86.5805),94.55285802089735
tensor(89.2650),94.33773816840811
tensor(91.4126),94.14950829748001
tensor(93.1306),93.80762138905962
tensor(94.5048),93.86140135218191
tensor(95.6045),93.35433312845728
tensor(96.4841),92.70897357098954
tensor(97.1879),92.65519360786723
tensor(97.7506),91.79471419791025
tensor(98.2010),90.95728334357713
tensor(98.5614),90.02381684081129
tensor(98.8496),88.90212046711738
