Percentage of Weights pruned,Test Accuracy
0,93.86908420405653
tensor(20.0007),94.21481253841425
tensor(36.0010),94.38767670559311
tensor(48.8015),94.52596803933619
tensor(59.0418),94.64889366933005
tensor(67.2340),94.53749231714812
tensor(73.7878),94.58358942839581
tensor(79.0306),94.6757836508912
tensor(83.2252),94.62584511370619
tensor(86.5805),94.5298094652735
tensor(89.2650),94.55669944683466
tensor(91.4126),94.39535955746773
tensor(93.1306),94.04963122311001
tensor(94.5048),93.55408727719728
tensor(95.6045),93.36969883220651
tensor(96.4841),93.21604179471419
tensor(97.1879),92.86647203441916
tensor(97.7506),92.1519668100799
tensor(98.2010),91.00722188076213
tensor(98.5614),90.4079594345421
tensor(98.8496),88.7638291333743
