Percentage of Weights pruned,Test Accuracy
0,93.60018438844499
tensor(20.0007),94.10725261216963
tensor(36.0010),94.36846957590657
tensor(48.8015),94.49523663183773
tensor(59.0418),94.26475107559925
tensor(67.2340),94.51060233558695
tensor(73.7878),94.49139520590042
tensor(79.0306),94.48755377996312
tensor(83.2252),94.50291948371235
tensor(86.5805),94.13414259373079
tensor(89.2650),94.25706822372464
tensor(91.4126),94.16871542716656
tensor(93.1306),93.78073140749845
tensor(94.5048),93.7538414259373
tensor(95.6045),93.33512599877074
tensor(96.4841),93.35817455439458
tensor(97.1879),92.71281499692685
tensor(97.7506),91.7678242163491
tensor(98.2010),90.7997848801475
tensor(98.5614),90.03534111862322
tensor(98.8496),87.8380454824831
